ts,symbol,action,reason,bid_px,ask_px,bid_qty,ask_qty,mid,micro,pos_btc,pnl_r,pnl_u
2025-08-22T14:28:39.359259Z,BTC/USD,allow,ok,114986.20,114996.20,0.250000,0.250000,114991.25,114991.20,0.000000,0.00,0.00
2025-08-22T14:28:39.869301Z,BTC/USD,allow,ok,114986.20,114996.20,0.250000,0.250000,114991.25,114991.20,0.000000,0.00,0.00
2025-08-22T14:28:40.361372Z,BTC/USD,allow,ok,114986.20,114996.20,0.250000,0.250000,114991.25,114991.20,0.000000,0.00,0.00
2025-08-22T14:28:40.883363Z,BTC/USD,allow,ok,114994.90,115004.90,0.250000,0.250000,114999.95,114999.92,0.000000,0.00,0.00
2025-08-22T14:28:41.404246Z,BTC/USD,allow,ok,114995.00,115005.00,0.250000,0.250000,114999.95,114999.97,0.000000,0.00,0.00
2025-08-22T14:28:41.912560Z,BTC/USD,allow,ok,114995.00,115005.00,0.250000,0.250000,114999.95,114999.97,0.000000,0.00,0.00
2025-08-22T14:28:42.424477Z,BTC/USD,allow,ok,114995.00,115005.00,0.250000,0.250000,114999.95,114999.96,0.000000,0.00,0.00
