ts,pos_btc,avg_entry_px,exposure_usd,pnl_realized,pnl_unrealized
2025-08-22T14:28:39.359259Z,0.000000,,0.00,0.00,0.00
2025-08-22T14:28:39.869301Z,0.000000,,0.00,0.00,0.00
2025-08-22T14:28:40.361372Z,0.000000,,0.00,0.00,0.00
2025-08-22T14:28:40.883363Z,0.000000,,0.00,0.00,0.00
2025-08-22T14:28:41.404246Z,0.000000,,0.00,0.00,0.00
2025-08-22T14:28:41.912560Z,0.000000,,0.00,0.00,0.00
2025-08-22T14:28:42.424477Z,0.000000,,0.00,0.00,0.00
